row_idx,unit_id,valid_len
0,1,259
1,2,253
2,3,222
3,4,272
4,5,213
5,6,278
6,7,424
7,8,267
8,9,406
9,10,481
10,11,197
11,12,170
12,13,185
13,14,207
14,15,202
15,16,344
16,17,312
17,18,447
18,19,229
19,20,338
20,21,220
21,22,192
22,23,196
23,24,494
24,25,193
25,26,243
26,27,320
27,28,200
28,29,223
29,30,218
30,31,183
31,32,189
32,33,231
33,34,459
34,35,231
35,36,324
36,37,324
37,38,201
38,39,288
39,40,188
40,41,295
41,42,193
42,43,321
43,44,180
44,45,205
45,46,204
46,47,269
47,48,174
48,49,256
49,50,161
50,51,190
51,52,222
52,53,164
53,54,194
54,55,525
55,56,195
56,57,215
57,58,178
58,59,299
59,60,190
60,61,199
61,62,246
62,63,231
63,64,195
64,65,234
65,66,165
66,67,263
67,68,201
68,69,170
69,70,172
70,71,409
71,72,232
72,73,215
73,74,193
74,75,259
75,76,153
76,77,255
77,78,221
78,79,166
79,80,147
80,81,347
81,82,285
82,83,181
83,84,226
84,85,266
85,86,341
86,87,172
87,88,322
88,89,207
89,90,181
90,91,156
91,92,158
92,93,171
93,94,392
94,95,166
95,96,491
96,97,275
97,98,307
98,99,145
99,100,152
