row_idx,unit_id,valid_len
0,1,321
1,2,299
2,3,307
3,4,274
4,5,193
5,6,331
6,7,221
7,8,230
8,9,334
9,10,354
10,11,301
11,12,272
12,13,256
13,14,253
14,15,224
15,16,184
16,17,151
17,18,343
18,19,210
19,20,245
20,21,227
21,22,211
22,23,280
23,24,186
24,25,150
25,26,297
26,27,163
27,28,202
28,29,247
29,30,297
30,31,263
31,32,219
32,33,201
33,34,276
34,35,221
35,36,143
36,37,388
37,38,177
38,39,202
39,40,206
40,41,279
41,42,280
42,43,223
43,44,203
44,45,177
45,46,321
46,47,375
47,48,322
48,49,446
49,50,172
50,51,285
51,52,357
52,53,304
53,54,197
54,55,344
55,56,347
56,57,193
57,58,281
58,59,177
59,60,218
60,61,244
61,62,297
62,63,170
63,64,184
64,65,351
65,66,175
66,67,167
67,68,163
68,69,226
69,70,185
70,71,312
71,72,308
72,73,181
73,74,244
74,75,230
75,76,152
76,77,148
77,78,250
78,79,218
79,80,305
80,81,187
81,82,197
82,83,184
83,84,159
84,85,277
85,86,232
86,87,259
87,88,388
88,89,168
89,90,212
90,91,354
91,92,191
92,93,196
93,94,249
94,95,239
95,96,270
96,97,262
97,98,245
98,99,167
99,100,261
100,101,260
101,102,194
102,103,224
103,104,203
104,105,170
105,106,266
106,107,183
107,108,304
108,109,325
109,110,186
110,111,297
111,112,340
112,113,184
113,114,161
114,115,131
115,116,344
116,117,342
117,118,543
118,119,187
119,120,177
120,121,194
121,122,174
122,123,226
123,124,170
124,125,239
125,126,302
126,127,235
127,128,248
128,129,190
129,130,166
130,131,370
131,132,254
132,133,489
133,134,247
134,135,149
135,136,205
136,137,225
137,138,178
138,139,251
139,140,298
140,141,199
141,142,209
142,143,184
143,144,297
144,145,228
145,146,303
146,147,234
147,148,193
148,149,261
149,150,149
150,151,351
151,152,262
152,153,168
153,154,203
154,155,295
155,156,139
156,157,298
157,158,399
158,159,288
159,160,187
160,161,303
161,162,313
162,163,285
163,164,380
164,165,255
165,166,269
166,167,263
167,168,196
168,169,227
169,170,161
170,171,399
171,172,273
172,173,457
173,174,370
174,175,156
175,176,180
176,177,242
177,178,170
178,179,435
179,180,344
180,181,134
181,182,205
182,183,190
183,184,379
184,185,259
185,186,163
186,187,273
187,188,254
188,189,239
189,190,381
190,191,297
191,192,190
192,193,197
193,194,145
194,195,159
195,196,174
196,197,170
197,198,164
198,199,176
199,200,225
200,201,378
201,202,241
202,203,324
203,204,211
204,205,242
205,206,263
206,207,379
207,208,290
208,209,161
209,210,167
210,211,146
211,212,229
212,213,197
213,214,128
214,215,361
215,216,244
216,217,200
217,218,236
218,219,190
219,220,202
220,221,274
221,222,202
222,223,247
223,224,268
224,225,418
225,226,194
226,227,287
227,228,279
228,229,280
229,230,250
230,231,194
231,232,273
232,233,289
233,234,207
234,235,199
235,236,225
236,237,212
237,238,187
238,239,365
239,240,149
240,241,332
241,242,222
242,243,327
243,244,267
244,245,205
245,246,161
246,247,211
247,248,184
248,249,255
